player_name,opponent_name,w_or_l,tourney_date,tourney_id,tourney_name,1in_sp,1w_sp,2w_sp,1w_rp,2w_rp,t_sp,t_rp,avg_1w_sp,avg_t_rp,avg_t_sp,avg_t_sp_365,1w_sp_comp,t_sp_comp,t_rp_comp
Roger Federer,Novak Djokovic,1,2014-10-05,2014-5014,Shanghai Masters,0.7083,0.6863,0.65,0.3962,0.4583,0.6667,0.1429,0.78698,0.16154,0.7209,0.7086474357692317,-0.10067999999999999,-0.054200000000000026,-0.01863999999999999
Roger Federer,Novak Djokovic,1,2015-02-23,2015-495,Dubai,0.6456,0.8039,0.4074,0.3077,0.4286,0.6582,0.1774,0.8437,0.25696,0.75194,0.7282624996250008,-0.03980000000000006,-0.09374000000000005,-0.07956000000000002
Roger Federer,Novak Djokovic,0,2015-03-12,2015-404,Indian Wells Masters,0.5816,0.7193,0.3947,0.2295,0.4,0.5714,0.1881,0.80463333,0.2562,0.73026667,0.7319509520000008,-0.08533332999999999,-0.15886667,-0.0681
Roger Federer,Novak Djokovic,0,2015-05-10,2015-416,Rome Masters,0.629,0.7692,0.3636,0.1579,0.2857,0.6129,0.0943,0.82096,0.17414,0.71674,0.7270477332000005,-0.05176000000000003,-0.10384000000000004,-0.07984
Roger Federer,Novak Djokovic,0,2015-06-29,2015-540,Wimbledon,0.6667,0.7447,0.5227,0.2632,0.3878,0.6596,0.1379,0.83468571,0.18798571,0.7696,0.7249220781818186,-0.08998571,-0.10999999999999999,-0.050085710000000006
Roger Federer,Novak Djokovic,1,2015-08-16,2015-422,Cincinnati Masters,0.5738,0.8286,0.7917,0.2979,0.4643,0.7869,0.2152,0.85076,0.20032,0.78718,0.7341279454794526,-0.022159999999999958,-0.00027999999999994696,0.014880000000000004
Roger Federer,Novak Djokovic,0,2015-08-31,2015-560,US Open,0.635,0.7126,0.5111,0.3438,0.4074,0.6204,0.1742,0.80414286,0.21401429,0.7278,0.7391500002702707,-0.09154286,-0.10740000000000005,-0.03981429
Roger Federer,Novak Djokovic,0,2015-11-15,2015-605,Tour Finals,0.6441,0.7105,0.4737,0.3784,0.1579,0.6102,0.0536,0.77546,0.18564,0.65046,0.7349464708823533,-0.06496000000000002,-0.040260000000000074,-0.13204
Roger Federer,Novak Djokovic,1,2015-11-15,2015-605,Tour Finals,0.6441,0.7105,0.4737,0.3784,0.1579,0.6102,0.0536,0.77546,0.18564,0.65046,0.7325325717142861,-0.06496000000000002,-0.040260000000000074,-0.13204
Roger Federer,Novak Djokovic,0,2016-01-18,2016-580,Australian Open,0.57,0.614,0.5,0.2308,0.3226,0.56,0.1134,0.80871667,0.21291667,0.7111,0.7288243245945948,-0.19471667000000004,-0.1510999999999999,-0.09951667
